"id_visita,fecha_visita,id_usuario,id_mascota"
"1,2024-11-15,4,1"
"2,2024-11-14,3,2"
"3,2024-11-10,8,3"
"4,2024-11-12,20,4"
"5,2023-07-17,40,3"
"6,2020-07-26,45,12"
"7,2020-02-16,47,17"
"8,2024-03-26,17,54"
"9,2022-04-25,37,28"
"10,2021-07-24,23,19"
"11,2021-06-02,40,45"
"12,2022-11-20,30,47"
"13,2023-11-13,16,13"
"14,2022-05-10,6,23"
"15,2022-09-26,7,48"
"16,2023-10-06,6,14"
"17,2024-11-01,41,25"
"18,2023-09-24,53,22"
"19,2022-12-30,15,10"
"20,2022-11-14,8,49"
"21,2024-05-28,31,54"
"22,2024-09-09,25,33"
"23,2023-12-11,35,7"
"24,2024-08-03,14,20"
"25,2020-10-14,15,44"
"26,2024-08-22,20,8"
"27,2023-04-19,6,29"
"28,2024-04-21,20,18"
"29,2023-12-22,7,38"
"30,2023-10-25,17,17"
"31,2023-03-09,6,41"
"32,2024-03-25,15,17"
"33,2020-08-20,43,25"
"34,2024-05-02,52,50"
"35,2021-03-07,4,1"
"36,2024-06-28,10,25"
"37,2022-08-17,18,52"
"38,2023-06-08,6,13"
"39,2024-08-29,7,45"
"40,2022-09-04,35,9"
"41,2022-07-15,49,18"
"42,2023-10-11,34,35"
"43,2024-03-23,53,15"
"44,2024-01-24,39,50"
"45,2024-09-16,32,29"
"46,2021-01-31,25,6"
"47,2021-11-09,22,49"
"48,2021-03-17,52,17"
"49,2021-11-28,4,1"
"50,2022-05-09,11,28"
"51,2024-03-28,38,7"
"52,2023-12-12,27,30"
"53,2024-01-26,40,25"
"54,2022-09-28,48,53"
"55,2024-12-19,12,9"
"56,2024-12-19,13,14"
"57,2024-12-19,51,46"
"58,2024-12-19,43,43"
"59,2024-12-19,42,11"
"60,2024-12-19,19,16"
"61,2024-12-19,21,22"
"62,2024-12-19,5,3"
